id,tipo,subtipo,etapa,desarrollador,nombre,area_m2,unidades_hab,estado,aÃ±o_asignacion,aÃ±o_entrega,propietario,observaciones,Coordenadas X,Coordenadas Y,Pilar
01-01-01,Institucional,PLANTA DE TRATAMIENTO,Etapa 1-B,BISONÃ“,Bloque 01,34623.98,50,Terminado,2016,2018,,Ejemplo - reemplazar con datos reales,421404.58,2047612.33,Servicios Básicos
01-01-02,Institucional,TERMINAL DE AUTOBUS,Etapa 1-B,BISONÃ“,Bloque 02,13314.93,50,Terminado,2016,2018,,,421484.46,2047137.4,Infraestructura y Movilidad
01-01-03,Habitacional,HABITACIONAL,Etapa 1-C,CONAMEX,Bloque 03,27055.42,60,Terminado,2017,2019,,,421568.38,2046984.9,Viviendas
01-01-04,Habitacional,HABITACIONAL,N/A,CODELPA,Plaza Central,16388.14,0,Terminado,2019,2021,,,421796.24,2046911.55,Viviendas
01-01-05,Habitacional,HABITACIONAL,N/A,DOS AMIGOS,Centro Comercial Norte,18021.41,0,En ConstrucciÃ³n,2022,2025,,,421796.24,2046911.55,Viviendas
01-01-06,Comercial,COMERCIAL,N/A,Gobierno,Escuela Primaria #1,32997.47,0,Terminado,2018,2019,,,421735.49,2046679.69,Economía
01-01-07,Habitacional,HABITACIONAL,N/A,Gobierno,Polideportivo Central,55545.63,0,En Progreso,2022,2025,,,422023.38,2046064.37,Viviendas
01-02-01,Institucional,VERDE,,,,2074.88,,,,,,,421412.49,2047187.53,Medio Ambiente
01-02-02,Institucional,POLICIA,,,,1636.19,,,,,,,421455.27,2047109.57,Seguridad
01-02-03,Institucional,BOMBEROS,,,,2493.71,,,,,,,421486.45,2047052.68,Seguridad
01-02-04,Habitacional,HABITACIONAL,,,,80173.71,,,,,,,421415.72,2047013.9,Viviendas
01-02-05,Institucional,COMERCIAL,,,,2106.4,,,,,,,421692.08,2046677.73,Economía
01-02-06,Institucional,VERDE,,,,2279.93,,,,,,,421437.86,2046526.12,Medio Ambiente
01-02-07,Institucional,N/A,,,,0,,,,,,,N/A,N/A,Servicios Básicos
01-02-08,Habitacional,EDUCACIONAL,,,,10000.56,,,,,,,421317.01,2046615.74,Viviendas
01-03-01,Habitacional,HABITACIONAL,,,,141828.6,,,,,,,421789.07,2046324.28,Viviendas
01-03-02,Institucional,ESTANCIA INFANTIL,,,,4099.86,,,,,,,421280.47,2046502.53,Educación
01-03-03,Comercial,COMERCIAL,,,,3160.08,,,,,,,421259.19,2046417.91,Economía
01-03-04,Comercial,COMERCIAL,,,,2108.62,,,,,,,421707.9,2046648.89,Economía
02-04-01,Habitacional,HABITACIONAL,,,,32858.19,,,,,,,421178.28,2046617.03,Viviendas
02-04-02,Habitacional,VIVIENDAS,,,,24233.85,,,,,,,421033.41,2046531.16,Viviendas
02-05-01,Institucional,EDUCACIONAL,,,,8363.04,,,,,,,420933.14,2046506.02,Educación
02-05-02,Institucional,EDUCACIONAL,,,,8147.27,,,,,,,420811.89,2046452.94,Educación
02-05-03,Comercial,COMERCIAL,,,,557.89,,,,,,,420919.82,2046453.05,Economía
02-05-04,Institucional,CENTRO RELIGIOSO,,,,1787.29,,,,,,,420886.12,2046441.95,Cultural
02-06-01,Institucional,COMPLEJO DEPORTIVO,,,,65344.7,,,,,,,420714.66,2046537.84,Deportes y Recreación
02-06-02,Institucional,PARQUE INFANTIL DE EDUCACION VIAL,,,,8652.82,,,,,,,420822.54,2046620.34,Infraestructura y Movilidad
02-06-03,Institucional,INSTITUCIONAL,,,,1325.77,,,,,,,420776.46,2046437.13,Seguridad
02-06-04,Institucional,INSTITUCIONAL BARRIAL,,,,752.18,,,,,,,420794.66,2046509.47,Seguridad
02-06-05,Institucional,COMERCIAL,,,,2698.81,,,,,,,420776.46,2046437.13,Deportes y Recreación
02-06-06,Institucional,COMPLEJO DEPORTIVO,,,,5422.58,,,,,,,420766.69,2046398.27,Deportes y Recreación
02-07-01,Habitacional,HABITACIONAL,,,,31475.06,,,,,,,421141.69,2046346.36,Viviendas
02-07-02,Habitacional,VIVIENDAS,,,,23257.56,,,,,,,420998.07,2046390.71,Viviendas
03-08-01,Habitacional,HABITACIONAL,,,,32599.13,,,,,,,421434.23,2046275.9,Viviendas
03-08-02,Habitacional,HABITACIONAL,,,,39380.94,,,,,,,421454.33,2046265.89,Viviendas
03-08-03,Comercial,COMERCIAL,,,,2317.26,,,,,,,421227.8,2046334.09,Economía
03-08-04,Comercial,ATENCIÓN PRIMARIA,,,,1800.05,,,,,,,421211.91,2046270.9,Economía
03-08-05,Comercial,CENTRO RELIGIOSO,,,,1534.08,,,,,,,421199.71,2046222.41,Economía
03-09-01,Habitacional,HABITACIONAL,,,,29450.42,,,,,,,421296.68,2046126.72,Viviendas
03-09-02,Habitacional,HABITACIONAL,,,,16300,,,,,,,421478.07,2045842.61,Viviendas
03-09-03,Habitacional,HABITACIONAL,,,,16088.73,,,,,,,421413.45,2045712.9,Viviendas
03-09-04,Habitacional,HABITACIONAL,,,,16720.51,,,,,,,421333.66,2045552.74,Viviendas
03-09-05,Comercial,COMERCIAL,,,,1412.79,,,,,,,421556.32,2045999.69,Economía
03-09-06,Institucional,ATENCIÓN PRIMARIA,,,,2041.14,,,,,,,421483.29,2045929.42,Educación
03-09-07,Institucional,EDUCACIONAL BID,,,,9823,,,,,,,421529.32,2046020.77,Infraestructura y Movilidad
03-09-08,Habitacional,EDUCACIONAL,,,,9082.36,,,,,,,421513.68,2045914.1,Viviendas
03-09-09,Institucional,TELECOMUNICACIONES,,,,2257.3,,,,,,,421208.58,2045546.45,Servicios Básicos
00-14-01,Institucional,CENTRO RELIGIOSO,,,,837.88,,,,,,,421620.23,2045979.36,Cultural
00-14-02,Comercial,COMERCIAL,,,,64.33,,,,,,,421690.08,2045938.77,Economía
00-14-03,Institucional,VERDE,,,,569.69,,,,,,,421658.54,2045875.46,Medio Ambiente
00-14-04,Comercial,COMERCIAL,,,,11462.88,,,,,,,421506.18,2045750.36,Economía
00-14-05,Comercial,COMERCIAL,,,,9892.49,,,,,,,421578.29,2045714.38,Economía
00-14-06,Institucional,INSTITUCIONAL ,,,,10429.79,,,,,,,421352.33,2045542.44,0
04-16-01,Institucional,EDUCACION,,,,5276.52,,,,,,,421523.79,2045562.79,Educación
04-16-02,Institucional,EDUCACION,,,,,,,,,,,421556.57,2045400.26,Educación
04-15-01,Habitacional,HABITACIONAL,,,,,,,,,,,421801.73,2045893.21,Viviendas
04-11-01,Institucional,COMERCIAL,,,,1977.53,,,,,,,421837.17,2046279.95,Economía
04-11-02,Institucional,HABITACIONAL,,,,8656.36,,,,,,,421852,2046230.56,Educación
04-11-03,Institucional,VERDE,,,,9146.64,,,,,,,421844.37,2046266.79,Medio Ambiente
